,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH,active
3384,1995-015FV,DMSP 5D-2 F13 DEB,40681,US,101.5,98.79,831.0,828.0,1995-03-24,0
3385,1995-015FU,DMSP 5D-2 F13 DEB,40680,US,100.8,98.74,813.0,781.0,1995-03-24,0
3386,1995-015FT,DMSP 5D-2 F13 DEB,40679,US,100.75,98.75,816.0,773.0,1995-03-24,0
3387,1995-015FS,DMSP 5D-2 F13 DEB,40678,US,101.03,98.73,826.0,788.0,1995-03-24,0
3388,1995-015FR,DMSP 5D-2 F13 DEB,40677,US,101.06,98.7,845.0,772.0,1995-03-24,0
3389,1995-015FQ,DMSP 5D-2 F13 DEB,40676,US,101.43,98.79,830.0,823.0,1995-03-24,0
3390,1995-015FP,DMSP 5D-2 F13 DEB,40675,US,101.42,98.78,828.0,824.0,1995-03-24,0
3391,1995-015FN,DMSP 5D-2 F13 DEB,40674,US,100.58,98.73,802.0,769.0,1995-03-24,0
3392,1995-015FM,DMSP 5D-2 F13 DEB,40673,US,101.41,98.77,843.0,809.0,1995-03-24,0
3393,1995-015FL,DMSP 5D-2 F13 DEB,40672,US,101.17,98.77,817.0,811.0,1995-03-24,0
3394,2015-026D,ARIANE 5 DEB (SYLDA),40666,FR,433.78,3.93,24964.0,244.0,2015-05-27,0
3395,2015-026C,ARIANE 5 R/B,40665,FR,598.1,3.97,34037.0,236.0,2015-05-27,0
3396,2015-026B,SKY MEXICO-1,40664,MEX,1436.14,0.02,35797.0,35778.0,2015-05-27,1
3397,2015-026A,DIRECTV 15,40663,US,1436.13,0.02,35789.0,35786.0,2015-05-27,1
3400,2015-025K,AEROCUBE 8B,40660,US,92.81,55.02,493.0,331.0,2015-05-20,1
3401,2015-025J,AEROCUBE 8A,40659,US,92.83,55.02,494.0,331.0,2015-05-20,1
3402,2015-025H,OPTICUBE 03,40658,US,92.95,55.02,505.0,333.0,2015-05-20,0
3403,2015-025G,GEARRS-2,40657,US,92.99,55.02,509.0,334.0,2015-05-20,1
3404,2015-025F,OPTICUBE 02,40656,US,94.0,54.99,593.0,347.0,2015-05-20,0
3405,2015-025E,BRICSAT-P,40655,US,93.97,55.02,594.0,344.0,2015-05-20,0
3406,2015-025D,PARKINSONSAT (PSAT),40654,US,96.72,54.67,736.0,467.0,2015-05-20,1
3407,2015-025C,OPTICUBE 01,40653,US,90.93,54.96,354.0,287.0,2015-05-20,0
3408,2015-025B,USS LANGLEY,40652,US,93.08,54.99,518.0,332.0,2015-05-20,0
3410,1994-074AF,RESURS O1 DEB,40650,CIS,94.54,98.04,499.0,494.0,1994-11-04,0
3411,2015-013F,DELTA 4 DEB,40649,US,375.48,52.78,20490.0,1235.0,2015-03-25,0
3412,1966-040BM,NIMBUS 2 DEB,40648,US,107.64,100.29,1155.0,1080.0,1966-05-15,0
3413,1966-040BL,NIMBUS 2 DEB,40647,US,107.72,100.3,1159.0,1083.0,1966-05-15,0
3414,1966-040BK,NIMBUS 2 DEB,40646,US,107.39,100.37,1148.0,1064.0,1966-05-15,0
